GENE-AMI-crossValid
rope: 0
alg1	alg2	P(alg1)	P(rope)	P(alg2)
STREHL-HGPA	JWEAC-SL	0.93912	0.00000	0.06088
STREHL-HGPA	LCE-CTS-SL	0.93270	0.00000	0.06730
STREHL-HGPA	STREHL-MCLA	0.10456	0.00000	0.89544
STREHL-HGPA	PAC-SL	0.93796	0.00000	0.06204
STREHL-HGPA	WEA-SL	0.96160	0.00000	0.03840
JWEAC-SL	LCE-CTS-SL	0.17700	0.00000	0.82300
JWEAC-SL	STREHL-MCLA	0.03706	0.00000	0.96294
JWEAC-SL	PAC-SL	0.12808	0.00000	0.87192
JWEAC-SL	WEA-SL	0.66056	0.00000	0.33944
LCE-CTS-SL	STREHL-MCLA	0.03784	0.00000	0.96216
LCE-CTS-SL	PAC-SL	0.84050	0.00000	0.15950
LCE-CTS-SL	WEA-SL	0.89992	0.00000	0.10008
STREHL-MCLA	PAC-SL	0.96042	0.00000	0.03958
STREHL-MCLA	WEA-SL	0.99168	0.00000	0.00832
PAC-SL	WEA-SL	0.85352	0.00000	0.14648
